kd/38-01 Sick Of Myself.mp3,Sick Of Myself,Matthew Sweet,"You know I don't listen to lyrics, but for some reason I really connect with the lyrics on this record. This song makes me think of you."
kd/39-03 We're The Same.mp3,We're The Same,Matthew Sweet,"This one makes me think of you, too. "
kd/40-01 Cissy Strut.mp3,Cissy Strut,The Meters,"You know, KD, sometimes all you need is a simple -- but fucking <em>rock solid</em> -- groove."
kd/41-03 In The Aeroplane Over The Sea.mp3,In The Aeroplane Over The Sea,Neutral Milk Hotel,This song reaches a place in my heart that no other song reaches.
kd/42-08 Gypsy.mp3,Gypsy,Nick and Altay,"My first recording, from way back in high school. Right now I'm picturing you listening to this and laughing. I like your laugh. :)"
kd/43-04 Satisfied.mp3,Satisfied,Noam Weinstein,Not sure if you ever met Noam... he sang backup on Round Hill. (He was making this album at Quad Sound while we were making the Great Unknowns record.)
kd/44-08 Changes.mp3,Changes,Noam Weinstein,"Another beautiful Noam tune. (The girl singing backup keeps trying to get into my pants. She used to live in Nashville and I was gonna hit her up for trip advice, but I didn't have the heart to tell her I was coming here with another woman.)"
kd/45-3-10 I've Got Dreams To Remember.mp3,I've Got Dreams To Remember,Otis Redding,Can't make a mix for my Macon girl without some Otis! This song builds just brilliantly. The drum beat at the end is so slammin'.  And I love when he says 'ooh wee!' in the bridge.
kd/46-3-11 Champagne And Wine.mp3,Champagne And Wine,Otis Redding,"Champagne and wine, what it's gonna be / Just as long, girl, as you see about me. "
kd/47-1-01 These Arms of Mine.mp3,These Arms of Mine,Otis Redding,They long to hold you.
kd/48-3-07 Happy Song.mp3,Happy Song,Otis Redding,"I love how, back in the day, you could write a song called 'The Happy Song' about nothing more than a girl making you happy... and people took it seriously.  Simpler times."
kd/49-06 Long Ride Home.mp3,Long Ride Home,Patty Griffin,So heartbreakingly beautiful. (And note that the drums and bass don't come in until you're more than halfway into the song!)
kd/50-05 Pair of Brown eyes.mp3,Pair of Brown Eyes,The Pogues,Apparently the Po
kd/51-08 Streams of Whisky.mp3,Streams of Whisky,The Pogues,
kd/52-10 Wonderful World.mp3,Wonderful World,Sam Cooke,
kd/53-25 Bring it on Home to Me.mp3,Bring it on Home to Me,Sam Cooke,
kd/54-04 You Send Me.mp3,You Send Me,Sam Cooke,
kd/55-07 Chain Gang.mp3,Chain Gang,Sam Cooke,
kd/56-04 Aht Uh Mi Hed.mp3,Aht Uh Mi Hed,Shuggie Otis,
kd/57-10 Strawberry Letter 23.mp3,Strawberry Letter 23,Shuggie Otis,
kd/58-02 If You Want Me to Stay.mp3,If You Want Me to Stay,Sly and the Family Stone,
"kd/59-06 Lollipop (feat. Jay-Z, Soopafly & Nate Dogg).mp3",Lollipop,"Snoop Dogg (feat. Jay-Z, Soopafly & Nate Dogg) ",
kd/60-Goodbye.mp3,Goodbye,Steve Earle,
"kd/61-07 Signed, Sealed, Delivered I'm Yours.mp3","Signed, Sealed, Delivered I'm Yours",Stevie Wonder,
kd/62-01 My Cherie Amour.mp3,My Cherie Amour,Stevie Wonder,
"kd/63-09 Yester-Me, Yester-You, Yesterday 1.mp3","Yester-Me, Yester-You, Yesterday",Stevie Wonder,
kd/64-02 We Can Work It Out.mp3,We Can Work It Out,Stevie Wonder
kd/65-03 Superstition.mp3,Superstition,Stevie Wonder
kd/66-03 El Cuerto de Tula.mp3,El Cuarto de Tula,Un Poquito Mas
kd/67-04 Fruta Fresca.mp3,Fruta Fresca,Un Poquito Mas
